segment_id,stroke_id,segment_type,point_index,x,y,z,rx,ry,rz,speed_mm_s,arc_enabled,voltage,current,tag
dc71dd26,c8383332,travel,0,92.3333,17.3333,115,-180,0,-135,80,0,0,0,travel
dc71dd26,c8383332,travel,1,92.3333,17.3333,115,-180,0,-135,80,0,0,0,travel
6d41ddcc,c8383332,lead_in,0,92.3333,17.3333,105,-180,0,-135,30,1,22,140,lead_in
6d41ddcc,c8383332,lead_in,1,91.8524,17.1966,105,-180,0,-135,30,1,22,140,lead_in
6d41ddcc,c8383332,lead_in,2,91.3715,17.0598,105,-180,0,-135,30,1,22,140,lead_in
6d41ddcc,c8383332,lead_in,3,90.8905,16.923,105,-180,0,-135,30,1,22,140,lead_in
6d41ddcc,c8383332,lead_in,4,90.4096,16.7862,105,-180,0,-135,30,1,22,140,lead_in
6d41ddcc,c8383332,lead_in,5,89.9287,16.6495,105,-180,0,-135,30,1,22,140,lead_in
6d41ddcc,c8383332,lead_in,6,89.4478,16.5127,105,-180,0,-135,30,1,22,140,lead_in
cce09cf7,c8383332,weld,0,92.3333,17.3333,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,1,94.7478,18.02,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,2,97.1624,18.7067,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,3,99.5769,19.3934,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,4,100.786,20.5941,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,5,101.996,21.7947,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,6,103.205,22.9954,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,7,104.18,24.2959,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,8,105.156,25.5963,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,9,106.131,26.8968,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,10,107.106,28.1972,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,11,108.082,29.4977,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,12,109.057,30.7981,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,13,110.032,32.0986,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,14,111.008,33.3991,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,15,111.983,34.6995,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,16,112.958,36,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,17,113.934,37.3004,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,18,114.909,38.6009,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,19,115.884,39.9013,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,20,116.86,41.2018,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,21,117.835,42.5023,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,22,118.81,43.8027,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,23,119.786,45.1032,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,24,120.761,46.4036,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,25,121.736,47.7041,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,26,122.712,49.0045,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,27,123.687,50.305,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,28,124.55,51.621,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,29,125.413,52.937,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,30,126.277,54.253,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,31,126.779,55.619,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,32,127.282,56.9849,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,33,127.785,58.3509,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,34,128.67,59.6079,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,35,129.554,60.8649,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,36,130.439,62.1219,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,37,131.979,63.2231,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,38,133.518,64.3242,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,39,135.058,65.4253,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,40,135.989,66.7339,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,41,136.919,68.0426,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,42,137.85,69.3512,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,43,138.78,70.6598,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,44,139.711,71.9685,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,45,140.641,73.2771,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,46,141.572,74.5857,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,47,142.503,75.8944,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,48,143.433,77.203,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,49,142.592,76.243,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,50,141.751,75.2829,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,51,140.91,74.3229,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,52,139.821,73.0452,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,53,138.732,71.7675,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,54,137.643,70.4898,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,55,136.554,69.2121,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,56,135.465,67.9345,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,57,134.376,66.6568,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,58,133.287,65.3791,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,59,132.197,64.1014,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,60,131.108,62.8237,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,61,130.019,61.546,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,62,128.93,60.2683,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,63,127.841,58.9906,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,64,126.752,57.7129,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,65,125.663,56.4353,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,66,124.574,55.1576,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,67,123.485,53.8799,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,68,122.396,52.6022,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,69,121.307,51.3245,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,70,120.218,50.0468,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,71,119.128,48.7691,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,72,118.039,47.4914,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,73,116.95,46.2138,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,74,115.861,44.9361,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,75,114.772,43.6584,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,76,113.683,42.3807,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,77,112.594,41.103,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,78,111.505,39.8253,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,79,110.416,38.5476,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,80,109.327,37.2699,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,81,108.238,35.9923,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,82,107.149,34.7146,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,83,106.059,33.4369,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,84,104.97,32.1592,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,85,103.881,30.8815,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,86,102.792,29.6038,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,87,101.703,28.3261,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,88,100.614,27.0484,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,89,99.525,25.7708,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,90,98.4359,24.4931,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,91,97.3468,23.2154,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,92,96.2577,21.9377,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,93,95.1686,20.66,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,94,94.4598,19.8283,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,95,93.751,18.9967,105,-180,0,-135,30,1,22,140,weld
cce09cf7,c8383332,weld,96,93.0422,18.165,105,-180,0,-135,30,1,22,140,weld
476c6eaa,c8383332,overlap,0,92.3333,17.3333,105,-180,0,-135,30,1,22,140,overlap
476c6eaa,c8383332,overlap,1,94.7478,18.02,105,-180,0,-135,30,1,22,140,overlap
476c6eaa,c8383332,overlap,2,97.1624,18.7067,105,-180,0,-135,30,1,22,140,overlap
b19402b5,c8383332,lead_out,0,93.0422,18.165,105,-180,0,-135,30,1,22,140,lead_out
b19402b5,c8383332,lead_out,1,92.7178,17.7845,105,-180,0,-135,30,1,22,140,lead_out
b19402b5,c8383332,lead_out,2,92.3935,17.4039,105,-180,0,-135,30,1,22,140,lead_out
b19402b5,c8383332,lead_out,3,92.0692,17.0234,105,-180,0,-135,30,1,22,140,lead_out
b19402b5,c8383332,lead_out,4,91.7448,16.6428,105,-180,0,-135,30,1,22,140,lead_out
b19402b5,c8383332,lead_out,5,91.4205,16.2623,105,-180,0,-135,30,1,22,140,lead_out
b19402b5,c8383332,lead_out,6,91.0962,15.8818,105,-180,0,-135,30,1,22,140,lead_out
50a88daf,c8383332,retreat,0,92.3333,17.3333,115,-180,0,-135,80,0,0,0,retreat
