segment_id,stroke_id,segment_type,point_index,x,y,z,rx,ry,rz,speed_mm_s,arc_enabled,voltage,current,tag
4ca41caa,cd012023,travel,0,44.6467,18.1667,115,-180,0,-135,80,0,0,0,travel
4ca41caa,cd012023,travel,1,44.6467,18.1667,115,-180,0,-135,80,0,0,0,travel
cb0fe8b0,cd012023,lead_in,0,44.6467,18.1667,105,-180,0,-135,30,1,24,150,lead_in
cb0fe8b0,cd012023,lead_in,1,44.1467,18.1667,105,-180,0,-135,30,1,24,150,lead_in
cb0fe8b0,cd012023,lead_in,2,43.6467,18.1667,105,-180,0,-135,30,1,24,150,lead_in
cb0fe8b0,cd012023,lead_in,3,43.1467,18.1667,105,-180,0,-135,30,1,24,150,lead_in
cb0fe8b0,cd012023,lead_in,4,42.6467,18.1667,105,-180,0,-135,30,1,24,150,lead_in
cb0fe8b0,cd012023,lead_in,5,42.1467,18.1667,105,-180,0,-135,30,1,24,150,lead_in
cb0fe8b0,cd012023,lead_in,6,41.6467,18.1667,105,-180,0,-135,30,1,24,150,lead_in
f8212f58,cd012023,weld,0,44.6467,18.1667,105,-180,0,-135,30,1,24,150,weld
f8212f58,cd012023,weld,1,60.6867,18.1667,105,-180,0,-135,30,1,24,150,weld
ecbf743c,cd012023,lead_out,0,60.6867,18.1667,105,-180,0,-135,30,1,24,150,lead_out
ecbf743c,cd012023,lead_out,1,61.1867,18.1667,105,-180,0,-135,30,1,24,150,lead_out
ecbf743c,cd012023,lead_out,2,61.6867,18.1667,105,-180,0,-135,30,1,24,150,lead_out
ecbf743c,cd012023,lead_out,3,62.1867,18.1667,105,-180,0,-135,30,1,24,150,lead_out
ecbf743c,cd012023,lead_out,4,62.6867,18.1667,105,-180,0,-135,30,1,24,150,lead_out
ecbf743c,cd012023,lead_out,5,63.1867,18.1667,105,-180,0,-135,30,1,24,150,lead_out
ecbf743c,cd012023,lead_out,6,63.6867,18.1667,105,-180,0,-135,30,1,24,150,lead_out
2d47d028,cd012023,retreat,0,60.6867,18.1667,115,-180,0,-135,80,0,0,0,retreat
2d47d028,cd012023,retreat,1,60.6867,18.1667,115,-180,0,-135,80,0,0,0,retreat
144f6b3c,b6ad7e72,travel,0,52.6667,38.3333,115,-180,0,-135,80,0,0,0,travel
144f6b3c,b6ad7e72,travel,1,52.6667,38.3333,115,-180,0,-135,80,0,0,0,travel
53256083,b6ad7e72,lead_in,0,52.6667,38.3333,105,-180,0,-135,30,1,24,150,lead_in
53256083,b6ad7e72,lead_in,1,52.6667,37.8333,105,-180,0,-135,30,1,24,150,lead_in
